Tweet_Text,User_Name,Screen_Name,Location,Country,Description,Followers_Count,Friends_Count,Verified_Account,Tweet_Created_At
"RT @EIB: Only one day left before #COP25! ðŸ’šðŸŒðŸŒŽðŸŒ
#ClimateChange is the top issue on the political agenda &amp; we need to act urgently to help reâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:37
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",ðŸ’§â˜”ï¸ðŸ€ðŸŒ±maz wrightðŸ³ï¸â€ðŸŒˆ#IamGetUp#NoisyAustralian,gramazzy4,Australia,Australia,"Becoming more interested in politics since this terrible A/T/M Lib gov ðŸ‡³ðŸ‡¿was elected,and Trump*happened.*Retweet opinions I agree with.",472,690,,12/1/19 20:37
RT @UNICEF: Thousands of children like this boy in Mozambique are put in danger and miss out on school every year due to #ClimateChange relâ€¦,Mubarak A.B.,mubarakbashir83,,,"International organisation for migration. 
I love so much humanity...!!!
 like reading books and swimming, cooking, long drive, camping, travelling â¤",145,195,,12/1/19 20:37
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",gail simmons,jurylady5,Southern hemisphere,Australia,"Interested in world affairs, communication, education and peace.",16167,17776,,12/1/19 20:36
"December thunderstorms
.
.
#thewitchandthecowboy #winter #weather #december #thunderstorm #climatechange https://t.co/YHzTFl5x2X",TheWitchAndTheCowboy,witch_cowboy,,,"Just a witch and a cowboy, being all magick and shit. Witch has the com.",182,175,,12/1/19 20:36
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",Lin Anderson,Lin_Anderson,"Edinburgh, Carrbridge, Cannes",United Kingdom,"A free spirit. Also crime writer, screenwriter, & co-founder of the @BloodyScotland crime writing festival - Instagram: https://t.co/Sohdsr9Tax",14265,14251,,12/1/19 20:36
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,Philip O'Brien,Macstarr287,,,,10,42,,12/1/19 20:36
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,Sharon Peter,Smp7665,United States,United States,"Born and raised in SoCal; retired court reporter; lifetime Dem; Wife, mother,grandmother",2136,2321,,12/1/19 20:36
"#ClimateChange #GlobalWarming #IndictTrump

Trump needs to be charged with crimes against Americans, EPA, Clean Watâ€¦ https://t.co/ZN9BAWf2mk",SavannahBayðŸ†˜ America2019 #SaveTheArtic,SavannahBayBVI,GLOBAL CITIZEN ,,"ðŸ†˜ #MuellerReport #PanamaPapers #UNFIT #ParadisePapers
#Impeach_Indict_Remove_Prison_4life
Trump.Pence.Pompeo.Giuliani.Sondland.Volker
#ActiveMeasures",2002,4335,,12/1/19 20:36
"RT @SaraCarterDC: While teen #environmentalist @GretaThunberg is sailing on a boat to #Spain from US

@SpeakerPelosi &amp; 14 other #Dems willâ€¦",Valentine Cotton,vmpcott,,,"This is about restoring Constitutional  Principles 
#TGDN #lnyhbt #PJNET #ORPUW",13532,13689,,12/1/19 20:36
