Tweet_Text,User_Name,Screen_Name,Country,Description,Followers_Count,Friends_Count,Verified_Account,Tweet_Created_At
"RT @EIB: Only one day left before #COP25! ðŸ’šðŸŒðŸŒŽðŸŒ
#ClimateChange is the top issue on the political agenda &amp; we need to act urgently to help reâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,FALSE,12/1/2019 20:37
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",ðŸ’§â˜”ï¸ðŸ€ðŸŒ±maz wrightðŸ³ï¸â€ðŸŒˆ#IamGetUp#NoisyAustralian,gramazzy4,Australia,"Becoming more interested in politics since this terrible A/T/M Lib gov ðŸ‡³ðŸ‡¿was elected,and Trump*happened.*Retweet opinions I agree with.",472,690,FALSE,12/1/2019 20:37
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",gail simmons,jurylady5,Australia,"Interested in world affairs, communication, education and peace.",16167,17776,FALSE,12/1/2019 20:36
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",Lin Anderson,Lin_Anderson,United Kingdom,"A free spirit. Also crime writer, screenwriter, & co-founder of the @BloodyScotland crime writing festival - Instagram: https://t.co/Sohdsr9Tax",14265,14251,FALSE,12/1/2019 20:36
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,Sharon Peter,Smp7665,United States,"Born and raised in SoCal; retired court reporter; lifetime Dem; Wife, mother,grandmother",2136,2321,FALSE,12/1/2019 20:36
RT @AaronDodd: â€˜War against nature must stopâ€™: UN chief | The New Daily #auspol #climatechange https://t.co/VoaqyZAyaq,Dr Sally ðŸ’¦,slsandpet,Australia,"TV tragic, news junkie media PhD, Enviro Board, human rights, hate injustice, LNP bastards, dog lover wine lover Daughter of #farmer & #TradeUnionLeader",8612,3256,FALSE,12/1/2019 20:36
RT @NickKukoz: Watch till the end. I synced the AGU visualization model of the age of Arctic sea ice with data of Global temperature from tâ€¦,William Brown â“,_William_Brown,United Kingdom,"@Fahrenheit212. @StudioAndthen. Continuing to defy pigeonhole-ing by operating across the fields of Design, Innovation and Futures.",232,334,FALSE,12/1/2019 20:35
"RT @robabdul: IMPRESSIVE: 17 year old's point of view

He feels that his views do not count. I promised to post this online &amp; I assured himâ€¦",Asset Rich #VoteLabour,AssetRich,United Kingdom,"Scientist, Web Guru, IT Geek, Democratic Socialist and #CorbynOutrider 

Consumer of fine (and not so fine) food and alcohol. 'Cum grano salis' optional.",1089,2021,FALSE,12/1/2019 20:35
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",John Orchard,DrJohnOrchard,Australia,"Sport and exercise med (SEM) physician, into load management/exercise, injury prevention/safety,ðŸ, sports cardiology,  tendinopathy, OA, â™€ï¸sport & promoting SEM",9606,3007,FALSE,12/1/2019 20:35
"RT @askboomer1949: If you want to counter the greedy #corporatist and #ChristianDominionist lies and propaganda,
Please Read This and Passâ€¦",Merryl Wiener,MerrylWiener,United States,"Theatre, film and music aficionado.",1141,735,FALSE,12/1/2019 20:35
RT @NickKukoz: Watch till the end. I synced the AGU visualization model of the age of Arctic sea ice with data of Global temperature from tâ€¦,AndrÃ© Savik,asavik,Norway,"Writing and designing stuff. Generally a #FOSS and especially a #b3d user. Still liberal after all these years. Oh, and European, first and foremost.",36,93,FALSE,12/1/2019 20:35
RT @carolduncan: This is my fatherâ€™s home being destroyed by #NSWfires a few weeks ago - just one of 64 in this fire alone. Two of his frieâ€¦,Heather Ferris,NNUS,United States,Climate activist for the #RegenerativeEconomy. #ClimateChangesHealth. #FirstNoHarm #Powershift. #EndDominationCulture. #DemocracyForAll. Barnard alum.,8573,7129,FALSE,12/1/2019 20:35
"Another day, another warning for us all to ignore. We are destroying our childrenâ€™s future and threatening most lifâ€¦ https://t.co/MqrXjdE6cd",Adrienne Riddell,adrienneriddell,Australia,"Parent, partner and former journalist. Views always my own.",217,693,FALSE,12/1/2019 20:35
"RT @Perla_Trevizo: #ClimateChange threatens nearly 80% of #Superfund sites in #Houston area, GAO says https://t.co/J8tXH7XpD7 via @HoustonCâ€¦",Rebecca Hennes,beccaghennes,United States,Web producer/reporter covering community news for @HoustonChron. I also wrote stuff for: @impactnews @HOUBizJournal @TheDailyCougar. Proud @UHouston alumna.,587,881,FALSE,12/1/2019 20:35
"RT @GrrlScientist: Population Decline Has #Hawaiiâ€™s Songbirds Singing The Same Tune, about a study by team based at @UHHilo &amp; published byâ€¦",Saint Denis,Saodionisio,Brazil,"â˜®ï¸âœï¸â˜¯ï¸  Anarco-socialista,psicÃ³logo ecolÃ³gico e evangÃ©lico radical.  Alimento-me de doses equilibradas de fÃ© e dÃºvida. Pesquiso e ensino.",1591,2747,FALSE,12/1/2019 20:35
RT @tecnbiz: This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantech #eco #environmâ€¦,UK Business ðŸ‡¬ðŸ‡§,ukbizz,United Kingdom,The Latest UK Business News : Use the hastag #UKbiz to join our Virtual #Business Community ðŸ‡¬ðŸ‡§ #england #britain #unitedkingdom,13965,17275,FALSE,12/1/2019 20:34
RT @tecnbiz: This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantech #eco #environmâ€¦,Irish Business ðŸ‡®ðŸ‡ª,Irish_Biz,Ireland,The Latest Irish Business News : Also Supporting all Business on the island of #Ireland #Business #Irishbiz #Irish #sme,33414,32808,FALSE,12/1/2019 20:34
"RT @UNFCCC: Speaking to the media one day ahead of #COP25, @UN Chief @antonioguterres today called for an end to the ""war against nature"" aâ€¦",Regina Karakina,RKarakina,Germany,"policy manager for #sustainability & #compliance @ICC_Germany
views are my own",66,268,FALSE,12/1/2019 20:34
RT @tecnbiz: This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantech #eco #environmâ€¦,Aframes,aframesie,Ireland,Latest Energy Efficient Windows and Doors for and Irish Market,4,1,FALSE,12/1/2019 20:34
RT @GerritRentier: With current #CO2 emissions the world is heading for a 3.2Â°C temperature rise. Wealthy G20 nations account for 78% of thâ€¦,Gerrit Rentier,GerritRentier,New Zealand,"Into #climate science & policy, political #economy, socioeconomic institutions, #energy policy, facts, mission-oriented sustainable inclusive growth, #Zeeland",993,549,FALSE,12/1/2019 20:34
"RT @FeistyLibLady: No matter our age #ClimateChange affects us!

Jane Fonda 82 and Iain Armitage 11 crossed generations to protest #Climateâ€¦","Abracadabra, Our homebuilt sailboat",CharlesMunn1,United States,"BLM! Charles Munn,ret USAF  BernieSanders2020! Wife & I were vegetarians for 15 years. We recently became Vegans because we respect our fellow creatures.",88228,78589,FALSE,12/1/2019 20:34
RT @tecnbiz: This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantech #eco #environmâ€¦,Canadian Business ðŸ‡¨ðŸ‡¦,canbizn,Canada,"The Latest Canadian Business News : Supporting #Canadian #Business : Use the hashtag #canbiz to join our Virtual Canadian Business Community
#canada #canadian",424,611,FALSE,12/1/2019 20:34
RT @tecnbiz: This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantech #eco #environmâ€¦,South American Business News,SAmrBiz,Brazil,South American Business Support Network : Use the hashtag #SAbiz to join our Virtual South American Business Community,352,694,FALSE,12/1/2019 20:34
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",Pamela Spence,starppael,Australia,"love my garden , family and magpies ( birds not AFL team) True believer . expect good governance from our political leaders . Media need to inform the public",290,199,FALSE,12/1/2019 20:34
RT @Spertus: .@Spertus announces the topic for 2020's Critical Conversations: Responses to #ClimateChange. Activists &amp; experts will debateâ€¦,Shalom Klein,ShalomKlein,United States,"U.S. Army Officer, radio host and non-profit guru.
Avid networker, entrepreneur and media guy.",2157,987,FALSE,12/1/2019 20:33
RT @samcossar: Every time a politcian says there is not enough money pay for ðŸ’¯Ã· #RenewableEnergy  and takle #climatechange we should call bâ€¦,Melanie,sydneygrrl,Australia,Sydney 'burbs Mum to 3. Small biz family. I believe in a fair & equal society. This bothers my fellow Australians who refuse to vote for it ðŸ¤·ðŸ»â€â™€ï¸,1179,1900,FALSE,12/1/2019 20:33
RT @AaronDodd: â€˜War against nature must stopâ€™: UN chief | The New Daily #auspol #climatechange https://t.co/VoaqyZAyaq,Tweety 'people over profits' Bird,devalara44,Australia,"Political tragic, Ex Federal Ministerial and Opposition ALP Staffer (12yrs) Social Worker, proud Irish-Australian, ten pound paddy. Fight until you win.",4043,2666,FALSE,12/1/2019 20:33
Can we stop going on about #ClimateChange and focus more on #plasticpollution &amp; #LossofHabitat both of which are obâ€¦ https://t.co/VFj9A3nVk3,Philip Robinson Esq.,philip_esq,United Kingdom,"FOR British Republic, democracy, Brexit, freedom. #StoptheLicenseFee #BritishIndependence #FreeAidanJames",164,312,FALSE,12/1/2019 20:33
"RT @UNDPClimate: Tomorrow nearly 200 nations will meet in Madrid for the @UN #ClimateChange conference, #COP25. With climate impacts more eâ€¦",nomoreslaves,nomoreslaves,Germany,#humanrights #education #freedom #peace Free your mind!,15580,17106,FALSE,12/1/2019 20:33
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,#WomenForBernie #NotMeUs #ResidueForBernie â³,RobertaAAvery,United States,"â³ðŸ±ðŸ‘©ðŸ» #ProgressiveWave   
Injustice anywhere is a threat to justice everywhere

#NotMeUS

#Medicare4All
#NoMoreWarsðŸŒŽðŸŒðŸŒ",647,292,FALSE,12/1/2019 20:33
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",Robbie Johnson,potcalling,Australia,"Retired ditherer, Sthn Tasmania, wolf Magnus & hound Winston. Sally Wolf sadly taken by Jimmy Dancer. Dithering less, swearing more, as politicians get worse",2479,2578,FALSE,12/1/2019 20:33
RT @G_OCeans: Bravo #Madrid! #COP25 is about to start. Let's not forget that #oceans represent our best asset to fight #ClimateChange. Ourâ€¦,Global Ocean Trust,goceantrust,Germany,A team of experts promoting ocean solutions through partnerships and innovative finance.,4587,4355,FALSE,12/1/2019 20:33
RT @UNICEF: Thousands of children like this boy in Mozambique are put in danger and miss out on school every year due to #ClimateChange relâ€¦,Frederico Ferreira,fbruno69,Belgium,I published â€œWhy Iâ€™m buying a Oneplus 5â€ on @Medium https://t.co/YXxOMG7kap,269,356,FALSE,12/1/2019 20:33
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,David Trucks,dave_sailing,United States,"Disabled. Love All Animals, except the GOP. Save the earth, we will all be part of it one day. Help the homeless. #BlueTsunami2020",1215,1898,FALSE,12/1/2019 20:33
"RT @robabdul: Sir David Attenborough speaks about #ClimateChange and #ClimateEmergency

https://t.co/aaEgRojxJu anyone listening to this atâ€¦",SteMclaret59,mclaret59,United Kingdom,"Got to live, trying to understand my place in this world........",165,727,FALSE,12/1/2019 20:32
"RT @DanyalGilani: Thatâ€™s how much ice has been lost at the Arctic in last 100 years. #ClimateChange 
#100YearChallenge #December1st #Sundayâ€¦",JFS,JoseFSa55876365,United States,"My name is JFS and welcome everyone. This is where I will be posting stuff for my youtube channel, any news, and yes plenty of fluffy animals.",613,746,FALSE,12/1/2019 20:32
"RT @FeistyLibLady: No matter our age #ClimateChange affects us!

Jane Fonda 82 and Iain Armitage 11 crossed generations to protest #Climateâ€¦",SlÃ inte â˜˜ï¸,1stSvelteCelt,United States,â€œwhatcha doinâ€™ Mr. Man? You ainâ€™t leaving much for us to call tomorrow. â€œ                      Born Blue (and â˜˜ï¸) ðŸ¦…ðŸŒŠ,8828,8603,FALSE,12/1/2019 20:32
RT @PaulEDawson: â€œThe unexpected and sustained current rise in methane may so greatly overwhelm all progress from other reduction efforts tâ€¦,Neeshad Shafi,ineeshadvs,Qatar,Youth Climate Advocate | Speaker | Co-Founder @aycmqa | @OneYoungWorld | @earthhour Qatar | @YouthClimateLab | @CAN_ArabWorld | @CoalitionWILD| @GlobalShapers |,3955,465,FALSE,12/1/2019 20:32
"RT @robabdul: IMPRESSIVE: 17 year old's point of view

He feels that his views do not count. I promised to post this online &amp; I assured himâ€¦",Dr Louise Raw,LouiseRawAuthor,United Kingdom,"Historian, writer. BBC Radio London #LondonLives. Book 'Striking a Light' Runs #Matchfest,next 27/6/20. Agent https://t.co/2f61tryayI. Photos Â©Jo Holland",21673,7754,FALSE,12/1/2019 20:32
@dominucco @ChrisLAS @wespayne @cityofcalgary but yes a storm is coming some point &amp; usually by this time its coldeâ€¦ https://t.co/qLKyeatuHx,Tim Postma,TimPatAlPostma,Canada,"collect interestn stuff,a advocate for tech especially 3DPrinting,always am creative but not interested in twitter romance&plz no provocative stuff)",4205,4594,FALSE,12/1/2019 20:32
RT @samcossar: Every time a politcian says there is not enough money pay for ðŸ’¯Ã· #RenewableEnergy  and takle #climatechange we should call bâ€¦,Janet M ðŸ‡®ðŸ‡ªðŸ‡¦ðŸ‡º,cinderella_oz,Australia,"Traveller, feminist, mum to Student & Teen, lefty leaning, Irish ex-pat. Usual pedestrian disclaimer that all views here are strictly personal.",1685,1761,FALSE,12/1/2019 20:32
RT @airnewsalerts: A new team of leaders took office at the helm of the European Union. They took pledge to put the fight against #ClimateCâ€¦,Bikram Kumar Sinha - à¤µà¤¿à¤•à¥à¤°à¤® à¤•à¥à¤®à¤¾à¤° à¤¸à¤¿à¤¨à¥à¤¹à¤¾,bikramksinha,India,"Media Coordinator, social media activist, Secretary Myurakshi Ngo, Santhal pragna pramukh Sahkar Bharty jharkhand, Poet and Writer",929,2365,FALSE,12/1/2019 20:32
"RT @askboomer1949: If you want to counter the greedy #corporatist and #ChristianDominionist lies and propaganda,
Please Read This and Passâ€¦",John MðŸ‘,JMcNChicago,United States,My short stories have been published in several literary magazines. #feminist #liberal #atheist #SJW Proud husband. NO LISTS PLEASE.,4577,4602,FALSE,12/1/2019 20:32
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Renison Pereira #TimesUpIndia,Renison007,India,"#Ahmedabad born #Vasai bred, lived @Melbourne for 5.7yrs. #Catholic #ClimateAction #Feminist #Liberal #Socialist #Rebel #TaggingOCD #HakunaMatata! O+BloodDonor.",586,3342,FALSE,12/1/2019 20:32
"RT @ProfStrachan: Tipping points

*Arctic sea ice
*Greenland ice sheet
*Boreal forests
*Permafrost
*Atlantic Meridional Overturning Circulaâ€¦",(((Doro BÃ¶hm))),doroboehm,Germany,"Arzt, AD(H)S-Coach, Verhaltensmanagement-Coaching, SAFE-Training",830,2045,FALSE,12/1/2019 20:32
"I just talked to a young family man mid 30's, wife and 4 kids 3-9ish...last day on the job is Dec 31. He's asking 'â€¦ https://t.co/s57UhzGSsW",Chad W Congo,ChadCongo,Canada,"Christian, Canadian, Conservative, white, male, red blooded all round average dude born 'n' bred in Alberta. Support https://t.co/6oJx7ZLIPZ",291,782,FALSE,12/1/2019 20:31
